"Wavelength"   "295 K"      "243 K"      "228 K"      "218 K"
  196.8600   3.4996E-19   3.4541E-19   3.4509E-19   3.4631E-19
  196.8700   3.5005E-19   3.4517E-19   3.4511E-19   3.4612E-19
  196.8800   3.5020E-19   3.4503E-19   3.4516E-19   3.4596E-19
  196.8900   3.4980E-19   3.4505E-19   3.4513E-19   3.4578E-19
  196.9000   3.4958E-19   3.4477E-19   3.4525E-19   3.4562E-19
  196.9100   3.4912E-19   3.4454E-19   3.4516E-19   3.4530E-19
  196.9200   3.4926E-19   3.4436E-19   3.4501E-19   3.4528E-19
  196.9300   3.4898E-19   3.4400E-19   3.4459E-19   3.4515E-19
  196.9400   3.4827E-19   3.4377E-19   3.4447E-19   3.4513E-19
  196.9500   3.4760E-19   3.4357E-19   3.4438E-19   3.4489E-19
  196.9600   3.4724E-19   3.4341E-19   3.4423E-19   3.4474E-19
  196.9700   3.4720E-19   3.4322E-19   3.4402E-19   3.4446E-19
  196.9800   3.4722E-19   3.4324E-19   3.4366E-19   3.4421E-19
  196.9900   3.4709E-19   3.4339E-19   3.4325E-19   3.4393E-19
  197.0000   3.4680E-19   3.4339E-19   3.4299E-19   3.4402E-19
  197.0100   3.4712E-19   3.4309E-19   3.4285E-19   3.4396E-19
  197.0200   3.4665E-19   3.4274E-19   3.4267E-19   3.4411E-19
  197.0300   3.4660E-19   3.4260E-19   3.4270E-19   3.4376E-19
  197.0400   3.4587E-19   3.4216E-19   3.4281E-19   3.4375E-19
  197.0500   3.4567E-19   3.4186E-19   3.4291E-19   3.4355E-19
  197.0600   3.4496E-19   3.4193E-19   3.4266E-19   3.4314E-19
  197.0700   3.4406E-19   3.4191E-19   3.4254E-19   3.4303E-19
  197.0800   3.4357E-19   3.4185E-19   3.4252E-19   3.4312E-19
  197.0900   3.4331E-19   3.4172E-19   3.4243E-19   3.4277E-19
  197.1000   3.4321E-19   3.4143E-19   3.4213E-19   3.4280E-19
  197.1100   3.4355E-19   3.4135E-19   3.4227E-19   3.4263E-19
  197.1200   3.4349E-19   3.4106E-19   3.4234E-19   3.4265E-19
  197.1300   3.4365E-19   3.4116E-19   3.4229E-19   3.4258E-19
  197.1400   3.4444E-19   3.4103E-19   3.4191E-19   3.4231E-19
  197.1500   3.4460E-19   3.4097E-19   3.4173E-19   3.4219E-19
  197.1600   3.4460E-19   3.4102E-19   3.4151E-19   3.4204E-19
  197.1700   3.4487E-19   3.4061E-19   3.4109E-19   3.4158E-19
  197.1800   3.4463E-19   3.4038E-19   3.4050E-19   3.4108E-19
  197.1900   3.4440E-19   3.4009E-19   3.4025E-19   3.4080E-19
  197.2000   3.4440E-19   3.3985E-19   3.4009E-19   3.4060E-19
  197.2100   3.4442E-19   3.3971E-19   3.3972E-19   3.4054E-19
  197.2200   3.4418E-19   3.3950E-19   3.3968E-19   3.4046E-19
  197.2300   3.4393E-19   3.3938E-19   3.3970E-19   3.4033E-19
  197.2400   3.4405E-19   3.3924E-19   3.3965E-19   3.4026E-19
  197.2500   3.4424E-19   3.3898E-19   3.3943E-19   3.4011E-19
  197.2600   3.4403E-19   3.3908E-19   3.3901E-19   3.3981E-19
  197.2700   3.4348E-19   3.3889E-19   3.3882E-19   3.3965E-19
  197.2800   3.4339E-19   3.3893E-19   3.3851E-19   3.3933E-19
  197.2900   3.4303E-19   3.3869E-19   3.3829E-19   3.3906E-19
  197.3000   3.4238E-19   3.3879E-19   3.3833E-19   3.3904E-19
  197.3100   3.4210E-19   3.3865E-19   3.3794E-19   3.3887E-19
  197.3200   3.4263E-19   3.3838E-19   3.3762E-19   3.3863E-19
  197.3300   3.4226E-19   3.3854E-19   3.3727E-19   3.3861E-19
  197.3400   3.4191E-19   3.3823E-19   3.3678E-19   3.3842E-19
  197.3500   3.4174E-19   3.3790E-19   3.3639E-19   3.3810E-19
  197.3600   3.4224E-19   3.3795E-19   3.3613E-19   3.3803E-19
  197.3700   3.4203E-19   3.3768E-19   3.3637E-19   3.3789E-19
  197.3800   3.4248E-19   3.3774E-19   3.3662E-19   3.3797E-19
  197.3900   3.4245E-19   3.3759E-19   3.3680E-19   3.3776E-19
  197.4000   3.4173E-19   3.3746E-19   3.3692E-19   3.3745E-19
  197.4100   3.4125E-19   3.3740E-19   3.3671E-19   3.3740E-19
  197.4200   3.4092E-19   3.3688E-19   3.3639E-19   3.3692E-19
  197.4300   3.4052E-19   3.3659E-19   3.3607E-19   3.3683E-19
  197.4400   3.4048E-19   3.3664E-19   3.3570E-19   3.3691E-19
  197.4500   3.4043E-19   3.3625E-19   3.3569E-19   3.3666E-19
  197.4600   3.4001E-19   3.3622E-19   3.3574E-19   3.3661E-19
  197.4700   3.3960E-19   3.3595E-19   3.3592E-19   3.3639E-19
  197.4800   3.3916E-19   3.3558E-19   3.3595E-19   3.3628E-19
  197.4900   3.3903E-19   3.3528E-19   3.3572E-19   3.3638E-19
  197.5000   3.3877E-19   3.3523E-19   3.3562E-19   3.3618E-19
  197.5100   3.3867E-19   3.3526E-19   3.3545E-19   3.3610E-19
  197.5200   3.3882E-19   3.3536E-19   3.3513E-19   3.3597E-19
  197.5300   3.3884E-19   3.3526E-19   3.3523E-19   3.3559E-19
  197.5400   3.3821E-19   3.3521E-19   3.3531E-19   3.3545E-19
  197.5500   3.3829E-19   3.3492E-19   3.3526E-19   3.3503E-19
  197.5600   3.3807E-19   3.3466E-19   3.3495E-19   3.3499E-19
  197.5700   3.3818E-19   3.3457E-19   3.3445E-19   3.3497E-19
  197.5800   3.3938E-19   3.3457E-19   3.3401E-19   3.3490E-19
  197.5900   3.3866E-19   3.3450E-19   3.3377E-19   3.3476E-19
  197.6000   3.3847E-19   3.3449E-19   3.3362E-19   3.3471E-19
  197.6100   3.3812E-19   3.3446E-19   3.3373E-19   3.3455E-19
  197.6200   3.3814E-19   3.3415E-19   3.3379E-19   3.3467E-19
  197.6300   3.3790E-19   3.3389E-19   3.3379E-19   3.3446E-19
  197.6400   3.3780E-19   3.3385E-19   3.3335E-19   3.3449E-19
  197.6500   3.3743E-19   3.3363E-19   3.3292E-19   3.3434E-19
  197.6600   3.3756E-19   3.3338E-19   3.3270E-19   3.3425E-19
  197.6700   3.3750E-19   3.3334E-19   3.3262E-19   3.3394E-19
  197.6800   3.3787E-19   3.3340E-19   3.3250E-19   3.3369E-19
  197.6900   3.3759E-19   3.3338E-19   3.3243E-19   3.3336E-19
  197.7000   3.3728E-19   3.3312E-19   3.3234E-19   3.3324E-19
  197.7100   3.3711E-19   3.3294E-19   3.3216E-19   3.3321E-19
  197.7200   3.3730E-19   3.3290E-19   3.3171E-19   3.3302E-19
  197.7300   3.3751E-19   3.3260E-19   3.3136E-19   3.3303E-19
  197.7400   3.3753E-19   3.3229E-19   3.3117E-19   3.3301E-19
  197.7500   3.3680E-19   3.3243E-19   3.3112E-19   3.3287E-19
  197.7600   3.3696E-19   3.3241E-19   3.3101E-19   3.3277E-19
  197.7700   3.3635E-19   3.3236E-19   3.3114E-19   3.3254E-19
  197.7800   3.3631E-19   3.3221E-19   3.3127E-19   3.3237E-19
  197.7900   3.3638E-19   3.3221E-19   3.3134E-19   3.3228E-19
  197.8000   3.3649E-19   3.3209E-19   3.3145E-19   3.3222E-19
  197.8100   3.3658E-19   3.3208E-19   3.3154E-19   3.3225E-19
