ATLAS3-SUSIM  13 Nov 1994.
Wavelength in nm and Irradiance in mW/m2/nm
0.15 nm resolution (FWHM)
 
Wavelength Irradiance
  178.66  1.6361e+00
  178.71  1.5895e+00
  178.76  1.5942e+00
  178.81  1.5979e+00
  178.86  1.6068e+00
  178.91  1.7345e+00
  178.96  1.7853e+00
  179.01  1.7481e+00
  179.06  1.7415e+00
  179.11  1.7778e+00
  179.16  1.7861e+00
  179.21  1.7068e+00
  179.26  1.6145e+00
  179.31  1.4675e+00
  179.36  1.4095e+00
  179.41  1.3983e+00
  179.46  1.4394e+00
  179.51  1.4943e+00
  179.56  1.5812e+00
  179.61  1.6157e+00
  179.66  1.5982e+00
  179.71  1.5598e+00
  179.76  1.6018e+00
  179.81  1.6640e+00
  179.86  1.6700e+00
  179.91  1.6502e+00
  179.96  1.7044e+00
  180.01  1.7553e+00
  180.06  1.7720e+00
  180.11  1.8041e+00
  180.16  1.8114e+00
  180.21  1.8035e+00
  180.26  1.8072e+00
  180.31  1.8181e+00
  180.36  1.8051e+00
  180.41  1.8129e+00
  180.46  1.8701e+00
  180.51  1.9294e+00
  180.56  1.9016e+00
  180.61  1.8615e+00
  180.66  1.7881e+00
  180.71  1.7922e+00
  180.76  2.2419e+00
  180.81  2.8914e+00
  180.86  2.4529e+00
  180.91  2.0848e+00
  180.96  1.8362e+00
  181.01  1.9038e+00
  181.06  1.9854e+00
  181.11  1.9147e+00
  181.16  1.8871e+00
  181.21  1.8544e+00
  181.26  1.8987e+00
  181.31  1.8583e+00
  181.36  1.8090e+00
  181.41  1.7412e+00
  181.46  1.7779e+00
  181.51  1.8480e+00
  181.56  1.8966e+00
  181.61  2.3148e+00
  181.66  3.8486e+00
  181.71  4.4064e+00
  181.76  3.8511e+00
  181.81  3.0525e+00
  181.86  2.2197e+00
  181.91  2.2199e+00
  181.96  2.1696e+00
  182.01  2.0900e+00
  182.06  1.9619e+00
  182.11  2.0663e+00
  182.16  2.2240e+00
  182.21  2.2765e+00
  182.26  2.2787e+00
  182.31  2.4073e+00
  182.36  2.4932e+00
  182.41  2.5451e+00
  182.46  2.5387e+00
  182.51  2.4146e+00
  182.56  2.2962e+00
  182.61  2.2096e+00
  182.66  2.1727e+00
  182.71  2.2353e+00
  182.76  2.1276e+00
  182.81  2.0728e+00
  182.86  2.0837e+00
  182.91  2.2772e+00
  182.96  2.2904e+00
  183.01  2.2373e+00
  183.06  2.1814e+00
  183.11  2.2080e+00
  183.16  2.3498e+00
  183.21  2.4153e+00
  183.26  2.3877e+00
  183.31  2.3574e+00
  183.36  2.3731e+00
  183.41  2.4554e+00
  183.46  2.5094e+00
  183.51  2.5790e+00
  183.56  2.4885e+00
  183.61  2.3541e+00
  183.66  2.3183e+00
  183.71  2.3740e+00
  183.76  2.5126e+00
  183.81  2.4480e+00
  183.86  2.4758e+00
  183.91  2.6396e+00
  183.96  2.5502e+00
  184.01  2.2733e+00
  184.06  2.2273e+00
